
--- 2022-01-04 16:04:36 Logging Started on ---
16:04:36 [D] Plugin Load file path,C:\Users\15907\Desktop\GAdemo\CZapi\demo\CsharpDemo\CsharpDemo\bin\x64\Debug\play_ctrl_config.xml, 64!  [CPluginMgr::StaticLoadPlugins:261]
16:04:36 [I] delayload [play_plugins/hik_play_plugin/hik_play_plugin.dll]  [CPluginMgr::StaticLoadPlugins:294]
16:04:36 [D] ProcPluginLoad, Plugin: hik  [CPluginMgr::LoadPlugin:583]
16:04:36 [D] Plugin Load Success, pszProcName:hik!  [CPluginMgr::LoadPlugin:746]
16:04:36 [I] delayload [play_plugins/dahua_play_plugin/dahua_play_plugin.dll]  [CPluginMgr::StaticLoadPlugins:294]
16:04:36 [D] ProcPluginLoad, Plugin: dahua  [CPluginMgr::LoadPlugin:583]
16:04:36 [D] Plugin Load Success, pszProcName:dahua!  [CPluginMgr::LoadPlugin:746]
16:04:36 [I] delayload [play_plugins/chengfeng_play_plugin/chengfeng_play_plugin.dll]  [CPluginMgr::StaticLoadPlugins:294]
16:04:36 [D] ProcPluginLoad, Plugin: chengfeng  [CPluginMgr::LoadPlugin:583]
16:04:36 [D] Plugin Load Success, pszProcName:chengfeng!  [CPluginMgr::LoadPlugin:746]
16:04:36 [I] delayload [play_plugins/hik_play_plugin/hik_play_plugin.dll]  [CPluginMgr::StaticLoadPlugins:294]
16:04:36 [D] ProcPluginLoad, Plugin: db33  [CPluginMgr::LoadPlugin:583]
16:04:36 [D] Plugin Load Success, pszProcName:db33!  [CPluginMgr::LoadPlugin:746]
16:04:36 [I] delayload [play_plugins/infinova_play_plugin/infinova_play_plugin.dll]  [CPluginMgr::StaticLoadPlugins:294]
16:04:36 [D] ProcPluginLoad, Plugin: infinova  [CPluginMgr::LoadPlugin:583]
16:04:36 [D] Plugin Load Success, pszProcName:infinova!  [CPluginMgr::LoadPlugin:746]
16:04:36 [I] delayload [play_plugins/hb_play_plugin/hb_play_plugin.dll]  [CPluginMgr::StaticLoadPlugins:294]
16:04:36 [D] ProcPluginLoad, Plugin: hb  [CPluginMgr::LoadPlugin:583]
16:04:36 [D] Plugin Load Success, pszProcName:hb!  [CPluginMgr::LoadPlugin:746]
16:04:36 [D] Vag playctrl sdk init success!  [VPLAY_Init:108]
16:04:38 [D] Vag playctrl sdk fini success!  [VPLAY_Fini:137]
